Customer_ID,Customer_Name,Region,Signup_Date
C0000,Alice,west,2021-08-22
C0001,bob,North,2021-05-28
C0002,J. Smith,west,2020-03-24
C0003,bob,west,2022-09-20
C0004,bob,west,2022-12-02
C0005,jane doe,North,2022-04-18
C0006,J. Smith,North,2021-08-28
C0007,J. Smith,West.,2022-03-20
C0008,J. Smith,south,2020-05-12
C0009,bob,south,2023-11-19
C0010,Alice,West.,2022-12-24
C0011,J. Smith,West.,2020-10-16
C0012,,,2021-01-10
C0013,bob,west,2022-02-07
C0014,jane doe,West.,2021-04-11
C0015,Alice,EAST,2023-05-21
C0016,,south,2023-03-17
C0017,,West.,2021-04-15
C0018,jane doe,EAST,2020-05-28
C0019,Alice,EAST,2020-03-28
C0020,bob,EAST,2023-09-09
C0021,John Doe,,2021-01-30
C0022,Alice,,2022-02-28
C0023,jane doe,EAST,2023-11-28
C0024,,,2023-01-10
C0025,bob,west,2023-08-02
C0026,Alice,EAST,2023-11-06
C0027,John Doe,west,2022-05-14
C0028,John Doe,west,2023-07-17
C0029,J. Smith,EAST,2023-08-08
C0030,J. Smith,south,2020-01-24
C0031,jane doe,EAST,2022-08-13
C0032,Alice,EAST,2020-11-06
C0033,Alice,,2023-05-16
C0034,,EAST,2021-10-25
C0035,,south,2021-03-13
C0036,,,2021-12-06
C0037,J. Smith,North,2023-09-21
C0038,Alice,North,2021-02-25
C0039,Alice,west,2020-11-16
C0040,John Doe,west,2021-08-09
C0041,J. Smith,south,2022-08-04
C0042,bob,West.,2023-04-01
C0043,J. Smith,North,2023-04-03
C0044,bob,west,2022-04-28
C0045,John Doe,North,2023-08-11
C0046,jane doe,south,2020-02-11
C0047,Alice,south,2023-08-01
C0048,John Doe,West.,2022-07-27
C0049,Alice,West.,2021-01-21
C0050,,,2023-03-07
C0051,jane doe,south,2023-04-25
C0052,jane doe,west,2022-06-28
C0053,John Doe,North,2021-12-16
C0054,jane doe,EAST,2021-03-06
C0055,bob,West.,2021-07-07
C0056,jane doe,EAST,2023-12-10
C0057,Alice,west,2022-03-10
C0058,Alice,West.,2021-03-01
C0059,Alice,EAST,2023-12-10
C0060,Alice,west,2020-01-26
C0061,bob,North,2023-10-26
C0062,J. Smith,west,2021-01-19
C0063,,,2020-02-25
C0064,John Doe,West.,2023-06-30
C0065,Alice,south,2021-09-25
